model,corruption,severity,precision,recall,mAP50,mAP50_95,evaluation_time_sec,error,F1,mAP50_95_drop,mAP50_95_drop_pct,mAP50_drop,mAP50_drop_pct
YOLO11n_baseline,jpeg_compression,severe,0.9837872796790492,0.9797777426882104,0.987135764010764,0.9561932310031074,7.848917007446289,,0.9817784175104645,0.013496143368063374,1.3918006863605599,0.0023706312992027856,0.23957715790812814
YOLO11n_baseline,low_light,mild,0.9853259975587256,0.9852497152628414,0.9899670937170938,0.9693010215491475,7.99781060218811,,0.9852878549343143,0.000388352822023208,0.04004919846368834,-0.0004606984071270359,-0.04655840622260156
YOLO11n_baseline,low_light,moderate,0.9873985756822162,0.9831606172599352,0.9900153562653564,0.965145566002412,7.979294061660767,,0.9852750393150023,0.004543808368758784,0.46858390829593,-0.000508960955389659,-0.051435842941694676
YOLO11n_baseline,low_light,severe,0.9694721337882964,0.9194669518017212,0.9650689947333592,0.9219342827035372,8.063749551773071,,0.943807658501178,0.04775509166763359,4.924782402468013,0.024437400576607593,2.4696556477487426
YOLO11n_baseline,low_contrast,mild,0.9848727063951814,0.9788252645253896,0.9896917440667442,0.9706183320168952,8.631783723831177,,0.9818396735513998,-0.0009289576457244264,-0.09579950758219268,-0.0001853487567774481,-0.018731435962006784
YOLO11n_baseline,low_contrast,moderate,0.9794469011457736,0.9753575280379908,0.9918484023374244,0.9706570848905902,8.168864727020264,,0.9773979371889449,-0.0009677105194194624,-0.09979592898468218,-0.002342007027457682,-0.2366843750134671
YOLO11n_baseline,low_contrast,severe,0.9605165649294388,0.9553087674906948,0.983304338517263,0.9574189206130568,7.995914697647095,,0.9579055880193508,0.012270453758113975,1.2654004552820004,0.006202056792703803,0.6267828911566543
YOLO11n_baseline,fog,mild,0.985429170101596,0.9788297846253384,0.9893055604305606,0.9713688019129264,8.068244218826294,,0.9821183912771446,-0.0016794275417556515,-0.17319232180353997,0.00020083487940614209,0.020296471084780585
YOLO11n_baseline,fog,moderate,0.9848720382172156,0.9792755148370308,0.9896917440667442,0.9720554382535525,8.207011699676514,,0.9820658033293111,-0.002366063882381697,-0.24400224906208287,-0.0001853487567774481,-0.018731435962006784
YOLO11n_baseline,fog,severe,0.9846365177727454,0.9760218627905648,0.9896446681972998,0.9711482649445304,8.044841766357422,,0.9803102649346396,-0.0014588905733596835,-0.1504492687986555,-0.00013827288733303522,-0.01397392558435367
YOLO11n_baseline,rain,mild,0.986669822593544,0.9779326917500832,0.9895063953099668,0.9695070851225512,8.225872993469238,,0.9822818289529199,0.000182289248619516,0.018798726008287747,0.0,0.0
YOLO11n_baseline,rain,moderate,0.9869301529069504,0.9773257174359298,0.9895172178207894,0.9696839124706478,8.235514163970947,,0.9821044542232323,5.461900522973906e-06,0.0005632629032896095,-1.0822510822627862e-05,-0.0010937282339885906
YOLO11n_baseline,rain,severe,0.986119598736872,0.9777744113156864,0.9895353528389244,0.970563160956343,8.039297819137573,,0.9819292743970451,-0.0008737865851722315,-0.09010994739824485,-2.8957528957596068e-05,-0.00292646203145812
